#time,accel_x,accel_y,accel_z
218.536084,-3849.070898,-77869.665098,612.876398
218.538643,2220.617826,-74760.800142,-1991.848295
218.541201,-740.205942,-76389.253214,459.657299
218.543760,5033.400406,-78165.747475,1378.971896
218.546319,8290.306550,-75056.882519,-766.095498
218.548877,10955.047942,-75797.088461,-919.314598
218.551436,-1036.288319,-78165.747475,-1838.629195
218.553995,0.000000,-75945.129649,-5362.668486
218.556554,5477.523971,-76685.335591,-4749.792088
218.559112,296.082377,-78609.871040,-3524.039291
218.561671,5625.565159,-75501.006084,-4596.572988
218.564230,5033.400406,-76537.294403,-2451.505594
218.566788,-2812.782580,-78461.829852,3524.039291
218.569347,7254.018232,-74020.594200,-3370.820191
218.571906,-592.164754,-77277.500345,612.876398
218.574464,-3108.864956,-75945.129649,-3064.381992
218.577023,1036.288319,-74316.676577,-8886.707777
218.579582,-7994.224174,-76537.294403,1991.848295
218.582140,-3256.906145,-75797.088461,5362.668486
218.584699,3701.029710,-75945.129649,9346.365076
218.587258,1184.329507,-75945.129649,3370.820191
218.589817,-8734.430116,-78165.747475,4136.915689
218.592375,-1628.453072,-76093.170838,-5056.230287
218.594934,-1332.370696,-78313.788664,306.438199
218.597493,296.082377,-77129.459156,-306.438199
218.600051,-1036.288319,-75204.923707,1378.971896
218.602614,-9770.718434,-77129.459156,4136.915689
218.605177,4441.235652,-77277.500345,7814.174080
218.607740,8438.347739,-76093.170838,2451.505594
218.610303,1776.494261,-74020.594200,-3983.696590
218.612866,-1628.453072,-79646.159359,-1072.533697
218.615429,6365.771101,-74464.717765,1685.410096
218.617992,1184.329507,-77869.665098,5975.544884
218.620555,-4441.235652,-84383.477388,7354.516781
218.623118,-2812.782580,-75056.882519,3064.381992
218.625681,-3404.947333,-76241.212026,5975.544884
218.628244,-2368.659014,-78757.912229,4136.915689
218.630807,3108.864956,-74612.758954,153.219100
218.633370,148.041188,-75649.047272,612.876398
218.635933,-3849.070898,-77573.582722,459.657299
218.638496,3701.029710,-74612.758954,-2451.505594
218.641059,-2368.659014,-74168.635388,2451.505594
218.643622,-6069.688724,-76537.294403,3524.039291
218.646185,-592.164754,-74464.717765,1532.190996
218.648748,-5329.482782,-79053.994606,6128.763984
218.651311,-2960.823768,-75945.129649,2604.724693
218.653874,3108.864956,-75204.923707,306.438199
218.656437,-5329.482782,-77573.582722,-1532.190996
218.659000,-6365.771101,-77573.582722,5822.325785
218.661563,11399.171507,-73872.553012,-7507.735880
218.664126,1480.411884,-81422.653620,4290.134789
218.666689,-3849.070898,-73724.511823,-6741.640382
218.669252,1184.329507,-75056.882519,-2451.505594
218.671815,6809.894666,-76685.335591,-4136.915689
218.674378,1776.494261,-76685.335591,2298.286494
218.676941,5625.565159,-74020.594200,-6894.859482
218.679504,0.000000,-78461.829852,-3524.039291
218.682067,-296.082377,-75649.047272,-3217.601092
218.684630,3256.906145,-73724.511823,-7354.516781
218.687193,-3997.112087,-80534.406490,5056.230287
218.689756,1924.535449,-74020.594200,-3524.039291
218.692319,6809.894666,-77573.582722,1991.848295
218.694883,1628.453072,-79053.994606,-2911.162892
218.697446,148.041188,-75501.006084,-2451.505594
218.700009,6661.853478,-75501.006084,-6435.202183
218.702572,1184.329507,-78609.871040,-1991.848295
218.705137,10658.965565,-75945.129649,153.219100
218.707703,15248.242405,-75056.882519,-612.876398
218.710269,592.164754,-77573.582722,-153.219100
218.712835,-740.205942,-74760.800142,-919.314598
218.715400,6365.771101,-75204.923707,-5515.887586
218.717966,11695.253884,-75945.129649,-1532.190996
218.720532,2368.659014,-74464.717765,-2911.162892
218.723098,2960.823768,-74168.635388,-6894.859482
218.725663,-296.082377,-77869.665098,-3217.601092
218.728229,148.041188,-74612.758954,-5515.887586
218.730795,6069.688724,-74316.676577,-4443.353888
218.733361,-740.205942,-77277.500345,-919.314598
218.735926,-2664.741391,-76093.170838,0.000000
218.738492,5773.606348,-74908.841330,-3370.820191
218.741058,-2072.576638,-78609.871040,1378.971896
218.743624,2664.741391,-76981.417968,-2145.067394
218.746189,9030.512492,-76241.212026,-4136.915689
218.748755,1184.329507,-78313.788664,-4136.915689
218.751321,296.082377,-76981.417968,-3524.039291
218.753887,148.041188,-75797.088461,-3524.039291
218.756453,2516.700203,-77721.623910,2604.724693
218.759018,4441.235652,-74020.594200,-1838.629195
218.761584,-1924.535449,-74760.800142,919.314598
218.764150,-5329.482782,-77277.500345,1532.190996
218.766716,-4737.318029,-76685.335591,2298.286494
218.769281,2368.659014,-73576.470635,-1991.848295
218.771847,-1480.411884,-77721.623910,3524.039291
218.774413,-4737.318029,-76241.212026,459.657299
218.776979,-3997.112087,-75649.047272,2451.505594
218.779544,-7105.977043,-77129.459156,5209.449386
218.782110,-4145.153275,-76389.253214,1838.629195
218.784676,1776.494261,-76389.253214,2298.286494
218.787242,-4145.153275,-78905.953417,1991.848295
218.789807,-5625.565159,-76685.335591,459.657299
218.792373,444.123565,-75797.088461,-2451.505594
218.794939,-3256.906145,-79498.118171,6128.763984
218.797505,296.082377,-76981.417968,1991.848295
218.800070,3404.947333,-77277.500345,6128.763984
218.802636,-18357.107362,-76685.335591,1378.971896
218.805202,-11103.089130,-76389.253214,0.000000
218.807778,1036.288319,-75204.923707,-612.876398
218.810346,-5033.400406,-79053.994606,612.876398
218.812914,-1332.370696,-76241.212026,1838.629195
